Year,Ceremony,Award,Winner,Title,Company,Revenue,Budget,Runtime,Vote Average,Vote Count,Popularity,Genre,Release Date,Movie ID
1944,17,Best Motion Picture,0,Double Indemnity,Paramount,2500000,927262,107,8.2,644,5.554,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1944-04-24,996
1944,17,Best Motion Picture,0,Gaslight,Metro-Goldwyn-Mayer,0,2068000,114,7.4,118,5.506,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1944-05-04,13528
1944,17,Best Motion Picture,1,Going My Way,Paramount,16300000,0,130,7.1,51,2.555,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",1944-05-15,17661
1944,17,Best Motion Picture,0,Since You Went Away,Vanguard Films,0,0,172,6.3,10,1.059,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",1944-07-20,42401
1944,17,Best Motion Picture,0,Wilson,20th Century Fox,2000000,2995000,154,5.5,6,0.6,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]",1944-08-01,84084
1945,18,Best Motion Picture,0,Anchors Aweigh,Metro-Goldwyn-Mayer,0,0,143,7.0,66,5.08,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1945-07-14,17889
1945,18,Best Motion Picture,0,The Bells of St. Mary's,Republic Pictures,21300000,0,126,7.4,53,2.492,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1945-12-27,32430
1945,18,Best Motion Picture,1,The Lost Weekend,Paramount,11000000,1250000,101,7.6,185,4.578,"[{'id': 18, 'name': 'Drama'}]",1945-11-29,28580
1945,18,Best Motion Picture,0,Mildred Pierce,Warner Bros. Pictures,5638000,1453000,111,7.7,127,4.745,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1945-10-20,3309
1945,18,Best Motion Picture,0,Spellbound,Selznick International Pictures,7000000,1500000,111,7.4,280,4.921,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1945-12-28,4174
1946,19,Best Motion Picture,1,The Best Years of Our Lives,Samuel Goldwyn Productions,23650000,2100000,172,7.8,207,5.491,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1946-12-25,887
1946,19,Best Motion Picture,0,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,Two Cities Films,0,0,137,6.8,39,1.727,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",1944-11-24,22638
1946,19,Best Motion Picture,0,It's a Wonderful Life,RKO Radio Pictures,9644124,3180000,130,8.2,1699,26.107,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1946-12-20,1585
1946,19,Best Motion Picture,0,The Razor's Edge,20th Century Fox,0,0,145,6.8,32,2.86,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1946-11-19,56135
1946,19,Best Motion Picture,0,The Yearling,Metro-Goldwyn-Mayer,0,0,128,6.5,36,2.516,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1946-12-18,19049
1947,20,Best Motion Picture,0,The Bishop's Wife,Samuel Goldwyn Productions,0,0,109,7.2,68,2.501,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",1947-12-09,19490
1947,20,Best Motion Picture,0,Crossfire,RKO Radio Pictures,1300000,250000,86,6.6,36,1.901,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1947-08-15,28120
1947,20,Best Motion Picture,1,Gentleman's Agreement,20th Century Fox,7800000,2000000,118,7.3,72,3.433,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1947-11-11,33667
1947,20,Best Motion Picture,0,Great Expectations,Cineguild,0,0,118,7.1,108,5.971,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1946-12-26,14320
1947,20,Best Motion Picture,0,Miracle on 34th Street,20th Century Fox,0,0,96,7.5,221,12.38,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1947-10-01,11881
1948,21,Best Motion Picture,1,Hamlet,Two Cities Films,0,750000,155,7.6,76,3.586,"[{'id': 18, 'name': 'Drama'}]",1948-03-25,23383
1948,21,Best Motion Picture,0,Johnny Belinda,Warner Bros. Pictures,0,0,102,6.9,29,2.264,"[{'id': 18, 'name': 'Drama'}]",1948-09-14,62000
1948,21,Best Motion Picture,0,The Red Shoes,Independent Producers,0,500000,133,8.1,200,6.14,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1948-07-20,19542
1948,21,Best Motion Picture,0,The Snake Pit,20th Century Fox,0,0,108,7.2,34,1.548,"[{'id': 18, 'name': 'Drama'}]",1948-11-04,62694
1948,21,Best Motion Picture,0,The Treasure of the Sierra Madre,Warner Bros. Pictures,4307000,3800000,126,8.1,424,6.379,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",1948-01-24,3090
1949,22,Best Motion Picture,1,All the King's Men,Columbia Pictures,0,0,109,7.1,65,3.935,"[{'id': 18, 'name': 'Drama'}]",1949-11-08,25430
1949,22,Best Motion Picture,0,Battleground,Loew's,0,0,118,6.8,34,2.733,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1949-11-09,31623
1949,22,Best Motion Picture,0,The Heiress,Paramount,0,2600000,115,7.7,60,3.613,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1949-10-06,28571
1949,22,Best Motion Picture,0,A Letter to Three Wives,20th Century Fox,0,0,103,7.2,43,2.665,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1949-01-20,45578
1949,22,Best Motion Picture,0,Twelve O'Clock High,20th Century Fox,3225000,0,132,7.1,49,3.175,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",1949-12-21,15497
1950,23,Best Motion Picture,1,All About Eve,20th Century Fox,63463,1400000,139,8.2,577,7.623,"[{'id': 18, 'name': 'Drama'}]",1950-11-09,705
1950,23,Best Motion Picture,0,Born Yesterday,Columbia Pictures,0,0,103,7.0,49,2.863,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1950-12-25,24481
1950,23,Best Motion Picture,0,Father of the Bride,Metro-Goldwyn-Mayer,0,0,92,7.0,68,3.544,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",1950-06-16,20758
1950,23,Best Motion Picture,0,King Solomon's Mines,Metro-Goldwyn-Mayer,0,0,103,6.3,34,2.043,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",1950-11-09,43388
1950,23,Best Motion Picture,0,Sunset Boulevard,Paramount,5000000,1752000,110,8.3,887,8.062,"[{'id': 18, 'name': 'Drama'}]",1950-08-10,599
1951,24,Best Motion Picture,1,An American in Paris,Loew's,4500000,2723903,113,7.0,211,4.741,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1951-08-08,2769
1951,24,Best Motion Picture,0,Decision Before Dawn,Bavaria Film,0,0,119,7.0,15,1.326,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1951-12-21,4461
1951,24,Best Motion Picture,0,A Place in the Sun,Paramount,0,0,122,7.4,129,4.737,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1951-06-12,25673
1951,24,Best Motion Picture,0,Quo Vadis,Metro-Goldwyn-Mayer,30000000,8250000,171,7.1,120,4.767,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1951-11-08,11620
1951,24,Best Motion Picture,0,A Streetcar Named Desire,Charles K. Feldman Group,8000000,1800000,125,7.8,476,7.592,"[{'id': 18, 'name': 'Drama'}]",1951-09-18,702
1952,25,Best Motion Picture,1,The Greatest Show on Earth,Paramount,36000000,4000000,152,6.4,76,4.12,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1952-01-10,27191
1952,25,Best Motion Picture,0,High Noon,Stanley Kramer Productions,8000000,730000,85,7.7,520,6.91,"[{'id': 37, 'name': 'Western'}]",1952-03-27,288
1952,25,Best Motion Picture,0,Ivanhoe,Metro-Goldwyn-Mayer,0,0,106,7.0,63,3.9,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1952-01-01,26175
1952,25,Best Motion Picture,0,Moulin Rouge,United Artists,0,1500000,119,6.7,28,1.797,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",1952-12-23,10910
1952,25,Best Motion Picture,0,The Quiet Man,Republic Pictures,0,0,129,7.4,174,5.84,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1952-07-21,3109
1953,26,Best Motion Picture,1,From Here to Eternity,Columbia Pictures,30500000,1650000,118,7.4,217,5.101,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",1953-08-28,11426
1953,26,Best Motion Picture,0,Julius Caesar,Metro-Goldwyn-Mayer,0,0,120,7.2,58,3.402,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1953-06-04,18019
1953,26,Best Motion Picture,0,The Robe,20th Century Fox,36000000,4100000,135,6.5,74,3.712,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1953-09-16,29912
1953,26,Best Motion Picture,0,Roman Holiday,Paramount,12000000,1500000,119,7.9,796,5.766,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1953-08-26,804
1953,26,Best Motion Picture,0,Shane,Paramount,20000000,3100000,118,7.4,225,5.226,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",1953-04-23,3110
1954,27,Best Motion Picture,0,The Caine Mutiny,Stanley Kramer Productions,21750000,2000000,124,7.3,116,4.935,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1954-06-23,10178
1954,27,Best Motion Picture,0,The Country Girl,Paramount,0,0,104,7.7,20,1.975,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",1954-05-17,2438
1954,27,Best Motion Picture,1,On the Waterfront,Horizon Pictures,9600000,910000,108,8.1,577,6.047,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1954-06-22,654
1954,27,Best Motion Picture,0,Seven Brides for Seven Brothers,Metro-Goldwyn-Mayer,5000000,0,102,7.4,215,5.383,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 10402, 'name': 'Music'}]",1954-07-22,16563
1954,27,Best Motion Picture,0,Three Coins in the Fountain,20th Century Fox,0,0,102,6.2,18,1.487,"[{'id': 18, 'name': 'Drama'}]",1954-05-01,41503
1955,28,Best Motion Picture,0,Love Is a Many-Splendored Thing,20th Century Fox,0,0,102,6.4,31,1.933,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1955-08-18,53879
1955,28,Best Motion Picture,1,Marty,United Artists,3000000,343000,90,7.5,111,4.965,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1955-04-11,15919
1955,28,Best Motion Picture,0,Mister Roberts,Warner Bros. Pictures,0,0,123,7.2,55,2.315,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10752, 'name': 'War'}]",1955-07-13,37853
1955,28,Best Motion Picture,0,Picnic,Columbia Pictures,0,0,115,6.9,31,2.525,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1955-11-18,39940
1955,28,Best Motion Picture,0,The Rose Tattoo,Paramount,0,0,117,7.6,19,1.281,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1955-12-12,65550
1956,29,Best Motion Picture,1,Around the World in Eighty Days,Michael Todd Company,42000000,6000000,167,6.5,161,5.555,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",1956-10-17,2897
1956,29,Best Motion Picture,0,Friendly Persuasion,Allied Artists,0,0,137,6.5,33,1.723,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 10752, 'name': 'War'}]",1956-11-25,43258
1956,29,Best Motion Picture,0,Giant,Warner Bros. Pictures,35000000,5400000,201,7.6,266,5.691,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 10749, 'name': 'Romance'}]",1956-10-10,1712
1956,29,Best Motion Picture,0,The King and I,20th Century Fox,21300000,4550000,133,7.3,159,6.399,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",1956-06-29,16520
1956,29,Best Motion Picture,0,The Ten Commandments,Paramount,122700000,13000000,220,7.6,512,6.804,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1956-10-05,6844
1957,30,Best Motion Picture,1,The Bridge on the River Kwai,Horizon Pictures (II),27200000,3000000,161,7.9,814,6.516,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1957-10-02,826
1957,30,Best Motion Picture,0,Peyton Place,Jerry Wald Productions,0,0,151,7.1,24,1.761,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1957-12-13,43236
1957,30,Best Motion Picture,0,Sayonara,Pennebaker Productions,0,0,147,6.8,38,2.286,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1957-12-05,40885
1957,30,Best Motion Picture,0,12 Angry Men,United Artists,1000000,350000,97,8.4,3233,13.247,"[{'id': 18, 'name': 'Drama'}]",1957-03-25,389
1957,30,Best Motion Picture,0,Witness for the Prosecution,Edward Small Productions,9000000,3000000,116,8.3,445,7.139,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]",1957-12-17,37257
1958,31,Best Motion Picture,0,Auntie Mame,Warner Bros. Pictures,0,0,143,7.2,40,2.476,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1958-12-27,16347
1958,31,Best Motion Picture,0,Cat on a Hot Tin Roof,Avon Production,17570324,3000000,108,7.8,272,5.062,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1958-02-17,261
1958,31,Best Motion Picture,0,The Defiant Ones,Curtleigh Productions,0,0,96,7.0,73,3.763,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1958-08-14,11414
1958,31,Best Motion Picture,1,Gigi,Arthur Freed Production,0,3319355,116,6.4,108,4.604,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1958-04-15,17281
1958,31,Best Motion Picture,0,Separate Tables,Norlan Productions,0,0,100,7.1,39,2.557,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1958-12-18,43136
1959,32,Best Motion Picture,0,Anatomy of a Murder,Columbia Pictures,0,0,160,7.9,315,7.85,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1959-07-01,93
1959,32,Best Motion Picture,1,Ben-Hur,Metro-Goldwyn-Mayer,146900000,15000000,212,7.7,1027,9.496,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]",1959-12-26,665
1959,32,Best Motion Picture,0,The Diary of Anne Frank,George Stevens Productions,0,3000000,180,7.2,122,4.723,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1959-03-18,2576
1959,32,Best Motion Picture,0,The Nun's Story,Warner Bros. Pictures,12800000,3500000,149,7.3,66,3.34,"[{'id': 18, 'name': 'Drama'}]",1959-06-18,27029
1959,32,Best Motion Picture,0,Room at the Top,Romulus Films,0,0,115,6.9,26,3.048,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1959-01-22,43103
1960,33,Best Motion Picture,0,The Alamo,United Artists,7900000,12000000,167,6.8,112,5.526,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}]",1960-10-23,11209
1960,33,Best Motion Picture,1,The Apartment,United Artists,25000000,3000000,125,8.2,771,8.775,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1960-06-15,284
1960,33,Best Motion Picture,0,Elmer Gantry,United Artists,10400000,3000000,146,7.5,49,2.137,"[{'id': 18, 'name': 'Drama'}]",1960-06-19,22013
1960,33,Best Motion Picture,0,Sons and Lovers,N/A,0,0,103,6.6,7,0.839,"[{'id': 18, 'name': 'Drama'}]",1960-08-29,53939
1960,33,Best Motion Picture,0,The Sundowners,Warner Bros. Pictures,0,0,133,6.5,18,1.301,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",1960-12-08,43047
1961,34,Best Motion Picture,0,Fanny,Mansfield Productions,0,0,134,6.5,12,1.551,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1961-06-28,84050
1961,34,Best Motion Picture,0,The Guns of Navarone,Highroad Productions,28900000,6000000,158,7.5,273,5.689,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1961-04-27,10911
1961,34,Best Motion Picture,0,The Hustler,Rossen Films,7600000,2000000,134,7.8,370,9.667,"[{'id': 18, 'name': 'Drama'}]",1961-09-25,990
1961,34,Best Motion Picture,0,Judgment at Nuremberg,United Artists,10000000,3000000,186,8.0,253,6.093,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1961-12-01,821
1961,34,Best Motion Picture,1,West Side Story,United Artists,43656822,6000000,152,7.3,686,7.356,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",1961-10-18,1725
1962,35,Best Picture,1,Lawrence of Arabia,Horizon Pictures (II),69995385,15000000,216,8.0,1273,9.094,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1962-12-10,947
1962,35,Best Picture,0,The Longest Day,Darryl F. Zanuck Productions,50100000,10000000,178,7.5,362,6.095,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1962-09-25,9289
1962,35,Best Picture,0,Double Indemnity,Paramount,2500000,927262,107,8.2,644,5.554,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1944-04-24,996
